City,Country,Stadium
Atlanta,USA,Mercedes-Benz Stadium
Boston,USA,Gillette Stadium
Dallas,USA,AT&T Stadium
Houston,USA,NRG Stadium
Kansas City,USA,GEHA Field at Arrowhead Stadium
Los Angeles,USA,SoFi Stadium
Miami,USA,Hard Rock Stadium
New York,USA,MetLife Stadium
Philadelphia,USA,Lincoln Financial Field
San Francisco,USA,Levi's Stadium
Seattle,USA,Lumen Field
Guadalajara,Mexico,Estadio Akron
Mexico City,Mexico,Estadio Azteca
Monterrey,Mexico,Estadio BBVA
Toronto,Canada,BMO Field
Vancouver,Canada,BC Place
